Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,20.139999,20.405001,20.125000,20.395500,18.615526,275000
2018-01-03,20.635000,20.750000,20.565001,20.627501,18.827278,254600
2018-01-04,21.104000,21.235001,21.010000,21.235001,19.381760,354200
2018-01-05,21.455000,21.600000,21.379999,21.600000,19.714907,449400
2018-01-08,21.482500,21.610001,21.434999,21.610001,19.724033,479200
2018-01-09,21.684999,21.735001,21.520000,21.645000,19.755978,264800
2018-01-10,21.475000,21.490000,21.190001,21.200001,19.349815,1273000
2018-01-11,21.361500,21.650000,21.295000,21.637501,19.749134,369200
2018-01-12,21.989000,22.195000,21.959999,22.170000,20.235159,446400
2018-01-16,22.730000,22.790001,22.665001,22.674999,20.696087,487000
2018-01-17,22.330000,22.520000,22.090000,22.500000,20.536360,552400
2018-01-18,22.610001,22.650000,22.375000,22.480000,20.518105,245200
2018-01-19,22.660000,22.850000,22.645000,22.850000,20.855814,342400
2018-01-22,23.094999,23.264999,23.000000,23.264999,21.234596,368200
2018-01-23,23.065001,23.065001,22.750000,22.955000,20.951651,270400
2018-01-24,22.952499,22.990999,22.785000,22.934999,20.933395,227000
2018-01-25,22.975000,22.982500,22.555000,22.620001,20.645885,334400
2018-01-26,22.760000,22.844999,22.674999,22.820000,20.828432,316400
2018-01-29,22.950001,22.959999,22.670000,22.690001,20.709778,169200
2018-01-30,22.251499,22.389999,22.190001,22.254999,20.312740,260200
2018-01-31,22.456499,22.495001,22.080000,22.219999,20.280796,250200
2018-02-01,22.146500,22.292500,22.059999,22.200001,20.262541,241400
2018-02-02,22.065001,22.070000,21.530001,21.547501,19.666986,363200
2018-02-05,21.204000,21.230000,19.900000,19.985001,18.240850,1123200
2018-02-06,20.530001,21.125000,20.465000,21.125000,19.281359,1020800
2018-02-07,21.187500,21.395000,20.907499,21.025000,19.190086,349600
2018-02-08,21.110001,21.110001,20.275000,20.275000,18.505543,453200
2018-02-09,20.566500,20.799999,20.000000,20.719999,18.911705,585200
2018-02-12,20.677500,21.000000,20.584999,20.965000,19.135323,264400
