Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,52.651001,53.799000,52.651001,53.660500,53.660500,31766000
2018-01-03,53.696499,54.805000,53.671501,54.576000,54.576000,31318000
2018-01-04,54.854500,55.203999,54.713001,54.787998,54.787998,26052000
2018-01-05,55.172501,55.679001,55.090000,55.514500,55.514500,30250000
2018-01-08,55.549999,55.958000,55.500000,55.710499,55.710499,24644000
2018-01-09,55.922001,55.922001,55.410000,55.639500,55.639500,26808000
2018-01-10,55.349998,55.639000,55.199001,55.507000,55.507000,20734000
2018-01-11,55.615501,55.742500,55.324001,55.602501,55.602501,22424000
2018-01-12,55.505001,56.564999,55.400501,56.532501,56.532501,38586000
2018-01-16,57.015499,57.444000,56.333000,56.535000,56.535000,36462000
2018-01-17,56.818001,56.966000,56.174500,56.955002,56.955002,27830000
2018-01-18,56.967499,57.029499,56.223000,56.798500,56.798500,27498000
2018-01-19,56.901501,57.188999,56.625000,57.174999,57.174999,30552000
2018-01-22,57.191002,58.344002,57.091000,58.208000,58.208000,29550000
2018-01-23,58.530998,58.925499,58.362499,58.808498,58.808498,39138000
2018-01-24,59.249001,59.352501,58.369999,58.564499,58.564499,37128000
2018-01-25,59.035500,59.250000,58.591999,59.106998,59.106998,29984000
2018-01-26,59.376499,59.377998,58.401501,59.377998,59.377998,42170000
2018-01-29,59.400002,59.900002,59.202999,59.324001,59.324001,31494000
2018-01-30,58.886002,59.396500,58.725498,58.868500,58.868500,37338000
2018-01-31,59.190498,59.316002,58.605000,59.111000,59.111000,36022000
2018-02-01,58.799500,59.372501,58.467999,59.079498,59.079498,73514000
2018-02-02,56.370998,56.564999,55.558498,55.959999,55.959999,117842000
2018-02-05,55.030499,55.749500,52.837002,53.119499,53.119499,83550000
2018-02-06,51.699001,54.368999,51.500500,54.221500,54.221500,76630000
2018-02-07,54.248501,54.326500,52.730999,52.770500,52.770500,51942000
2018-02-08,52.993500,53.196499,50.235001,50.385502,50.385502,66792000
2018-02-09,51.293999,52.585999,49.849998,52.313499,52.313499,98360000
2018-02-12,52.833500,53.278500,52.274502,52.728001,52.728001,56240000
2018-02-13,52.500000,53.061001,52.346001,52.707001,52.707001,31586000
2018-02-14,52.716000,53.773499,52.490002,53.634998,53.634998,41304000
2018-02-15,54.172501,54.705002,53.361500,54.568001,54.568001,37396000
2018-02-16,54.668999,55.415501,54.577499,54.775002,54.775002,39948000
2018-02-20,54.638000,55.814499,54.500000,55.179501,55.179501,33754000
2018-02-21,55.455002,56.810001,55.375500,55.687500,55.687500,41486000
2018-02-22,55.958500,56.272999,55.257500,55.494999,55.494999,28010000
2018-02-23,55.932999,56.450001,55.422001,56.404499,56.404499,25292000
2018-02-26,56.592999,57.209999,56.466999,57.185001,57.185001,30912000
